num,page_url,image_url,author,title,annotation
0,https://www.biblio-globus.ru/product/10567224,https://static1.bgshop.ru/imagehandler.ashx?filename=10567224.jpg&width=200,Гоголь Н. В. ,Нос,"Подарочное издание классического произведения Н.В. Гоголя Нос, с иллюстрациями современного художника-графика Олега Корытова. Дизайн обложки - блинтованное тиснение на брутальном крафте в обрез.    Сам текст произведения..."
1,https://www.biblio-globus.ru/product/10044586,https://static1.bgshop.ru/imagehandler.ashx?filename=10044586.jpg&width=200,Толстой Л. Н.,Война и мир. В 2 т.,"«Война и мир» Л. Н. Толстого — книга на все времена. Кажется, что она существовала всегда, настолько знакомым кажется текст, едва мы открываем первые страницы романа, настолько памятны многие его эпизоды: охота и святки, первый..."
2,https://www.biblio-globus.ru/product/10894146,https://static1.bgshop.ru/imagehandler.ashx?filename=10894146.jpg&width=200,Набоков В.В. ,Поэмы 1918-1947. Жалобная песнь Супермена,"Все мы привыкли думать о Владимире Набокове как о великолепном прозаике, уникальном, ни на кого не похожем стилисте. Широкой публике гораздо менее известен Набоков-поэт. В настоящее издание вошли как известные, так и никогда..."
3,https://www.biblio-globus.ru/product/10887280,https://static1.bgshop.ru/imagehandler.ashx?filename=10887280.jpg&width=200,Олкотт Л.М. ,Маленькие женщины,"В Америке началась Гражданская война, глава семейства Марч ушел на фронт, а все заботы по дому легли на плечи его жены и дочерей. 
Старшая из сестер, шестнадцатилетняя Маргарет - женственная и романтичная красавица с прекрасными..."
4,https://www.biblio-globus.ru/product/10893153,https://static1.bgshop.ru/imagehandler.ashx?filename=10893153.jpg&width=200,Набоков В. В.,Истинная жизнь Севастьяна Найта,"«Истинная жизнь Севастьяна Найта» — первый англоязычный роман Владимира Набокова, оконченный в 1939 году в Париже и два года спустя опубликованный в США. Его лабиринтообразная структура и квазидетективный сюжет предопределили..."
5,https://www.biblio-globus.ru/product/10835727,https://static1.bgshop.ru/imagehandler.ashx?filename=10835727.jpg&width=200,Старшинов А,Завещание императора,"Дакия разгромлена. Римский император Траян — победитель, в Риме он выстроил новый грандиозный Форум как символ своей победы. Его центурион Гай Приск вернул себе имущество отца и звание римского всадника. Он женат и счастлив. Но..."
6,https://www.biblio-globus.ru/product/10275510,https://static1.bgshop.ru/imagehandler.ashx?filename=10275510.jpg&width=200,Гёте И. В.,Малое собрание сочинений,"Иоганн Вольфганг Гёте - поэт, общественный деятель, мыслитель и естествоиспытатель, проживший жизнь, богатую яркими событиями, впечатлениями и кипучей деятельностью, - составляет вечную гордость и славу Германии. В настоящем томе..."
7,https://www.biblio-globus.ru/product/10182039,https://static1.bgshop.ru/imagehandler.ashx?filename=10182039.jpg&width=200,Лондон Дж.,Смок Беллью ; Смок и Малыш,"Два цикла рассказов американского писателя Джека Лондона, «Смок Беллью» и «Смок и Малыш» (1911), объединены образом главного героя — молодого писателя из Сан-Франциско, который променял унылую жизнь газетного клерка на..."
8,https://www.biblio-globus.ru/product/10886876,https://static1.bgshop.ru/imagehandler.ashx?filename=10886876.jpg&width=200,Булгаков М.,"""Мне нужно видеть свет..."". Дневники, письма, документы","В настоящее издание включены дневники и письма, а также документальные материалы, освещающие жизненный и творческий путь М. А. Булгакова с 1914 по 1940 г. По сути это не что иное, как его жизнеописание, составленное по дневникам..."
9,https://www.biblio-globus.ru/product/10747756,https://static1.bgshop.ru/imagehandler.ashx?filename=10747756.jpg&width=200,Лермонтов М.Ю.,Герой нашего времени,"«Герой нашего времени» — самое крупное и значительное произведение Михаила Юрьевича Лермонтова, первый в русской литературе социально-психологический роман, герой которого, молодой офицер Григорий Печорин, стал поистине ярким..."
10,https://www.biblio-globus.ru/product/10864741,https://static1.bgshop.ru/imagehandler.ashx?filename=10864741.jpg&width=200,Лондон Дж. ,Маленькая хозяйка Большого дома,"Дик и Паола – идеальная пара. Сдержанный Дик полностью погружен в работу, да и энергичная Паола сама занимается делами. Их жизнь кипит – в Большом доме часто бывают гости и некогда скучать. Для личного общения у супругов почти..."
11,https://www.biblio-globus.ru/product/10708999,https://static1.bgshop.ru/imagehandler.ashx?filename=10708999.jpg&width=200,Миллер М.,Цирцея,"Цирцея – дочь великого титана Гелиоса, бога солнца, который каждый день озаряет собой небосвод. Но своей божественной природы она почти не ощущает: брат и сестра издеваются над ней, мать не выносит звуков ее голоса, а отец едва..."
